sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,58,臭氧八小時,普通,0.7,0.23,56.3,57.6,10,6,4.3,4.9,0.6,1.3,88,2024/5/2 10:00,0.2,6.7,11,0,121.760056,25.129167,1
汐止,新北市,40,,良好,1.3,0.25,35.6,42.9,10,13,24.4,27.5,3.1,2.1,33,2024/5/2 10:00,0.2,10.2,12,1,121.64081,25.06624,2
萬里,新北市,84,臭氧八小時,普通,0.8,0.2,63.2,65.3,30,6,3.1,4.1,1,5.7,51,2024/5/2 10:00,0.1,6.5,23,0,121.689881,25.179667,3
新店,新北市,40,,良好,0.3,0.37,39.4,43.4,14,8,17.6,19.7,2,1.4,82,2024/5/2 10:00,0.2,9.5,9,0,121.537778,24.977222,4
土城,新北市,42,,良好,0.7,0.46,43.2,45.8,14,12,19.1,21.5,2.3,1.6,269,2024/5/2 10:00,0.3,10.2,10,0,121.451861,24.982528,5
板橋,新北市,43,,良好,1,0.45,39.4,46.8,15,3,23.6,26.2,2.6,2.3,41,2024/5/2 10:00,0.3,5.9,10,0,121.458667,25.012972,6
新莊,新北市,45,,良好,0.4,0.34,47.3,49.2,8,6,16.8,18.7,1.8,3.3,85,2024/5/2 10:00,0.2,6.3,6,0,121.4325,25.037972,7
菜寮,新北市,45,,良好,0.9,0.39,45.6,49.7,10,5,17.7,19.2,1.5,2.5,110,2024/5/2 10:00,0.3,6.3,10,0,121.481028,25.06895,8
林口,新北市,38,,良好,0.6,0.4,35.8,40.5,10,8,23.7,28.1,4.4,2.4,82,2024/5/2 10:00,0.2,8.6,6,0,121.3654898,25.07798949,9
淡水,新北市,36,,良好,0.4,0.26,44.6,39.6,14,4,6.4,7.7,1.3,,,2024/5/2 10:00,0.2,7.5,13,0,121.449239,25.1645,10
士林,臺北市,43,,良好,0.7,0.3,44.9,46.5,10,9,14.9,17.1,2.2,2.6,149,2024/5/2 10:00,0.2,6.9,8,0,121.5166636,25.10334003,11
中山,臺北市,42,,良好,0.3,0.48,37.5,45.8,18,9,22.1,25.5,3.3,2,121,2024/5/2 10:00,0.3,6.7,12,0,121.526528,25.062361,12
萬華,臺北市,45,,良好,0.8,0.38,41.3,49.2,17,12,23.9,26.4,2.5,1.7,93,2024/5/2 10:00,0.3,11.8,12,0,121.507972,25.046503,13
古亭,臺北市,47,,良好,1.6,0.37,33.7,48.2,17,16,28.1,34.9,6.8,1.5,64,2024/5/2 10:00,0.2,10.3,9,1,121.529556,25.020608,14
松山,臺北市,42,,良好,1.6,0.34,33.4,43.7,10,14,25.6,28.7,3,1.8,40,2024/5/2 10:00,0.2,10,10,0,121.578611,25.05,15
大同,臺北市,57,二氧化氮,普通,1.2,1.04,18.8,33.5,39,22,39.7,68.8,29.1,-,-,2024/5/2 10:00,0.7,17.5,30,0,121.5134207,25.06331455,16
桃園,桃園市,44,,良好,2,0.42,45.8,48.7,9,8,16,18.5,2.5,2.5,51,2024/5/2 10:00,0.3,6.1,9,1,121.3050053,24.9947107,17
大園,桃園市,52,二氧化氮,普通,1.5,0.3,32.8,38.8,18,10,33.6,37.5,3.8,3.2,41,2024/5/2 10:00,0.2,6.8,9,1,121.2025147,25.06100357,18
觀音,桃園市,41,,良好,1.2,0.25,46.5,44.1,18,9,15.1,16.3,1.2,4.2,91,2024/5/2 10:00,0.2,9.6,14,0,121.0828309,25.03556747,19
